TumoID,BirthDate,Classification,Status,StudentSchedule,AttendingSince,RetentionByMonths,RetentionGrouped,Age,Present,PresenceRatio
2.30326E+11,11-Jul-10,M,Active,Sunday 13:30,14-Sep-23,22,1.5 - 2 Year,15,109,85
2.30113E+11,9-Nov-10,U,Active,Friday 17:30,12-Apr-23,27,2 - 2.5 Year,14,120,90
2.40401E+11,20-Mar-12,T,Active,Wednesday 15:30,5-Jun-24,13,1 - 1.5 Year,13,64,86
2.50414E+11,29-Jan-13,T,Active,Wednesday 19:30,7-May-25,2,0.1 - 0.5 Year,12,13,81
2.21109E+11,27-Sep-10,M,Active,Thursday 17:30,12-Apr-23,27,2 - 2.5 Year,14,134,84
2.30629E+11,14-Jan-10,M,Active,Saturday 17:30,9-Oct-23,21,1.5 - 2 Year,15,101,81
2.31013E+11,29-Jun-11,U,Active,Tuesday 17:30,16-Jan-24,18,1.5 - 2 Year,14,81,83
2.41211E+11,15-Mar-11,U,Active,Tuesday 15:30,14-Jan-25,6,0.5 - 1 Year,14,35,85
2.41214E+11,11-Nov-12,T,Active,Saturday 19:30,15-Jan-25,6,0.5 - 1 Year,12,30,75
2.40823E+11,9-Aug-12,U,Active,Sunday 09:30,7-Nov-24,8,0.5 - 1 Year,12,58,95
2.41012E+11,20-Jun-09,U,Active,Sunday 17:30,3-Dec-24,7,0.5 - 1 Year,16,42,82
2.50329E+11,4-Jan-13,T,Active,Tuesday 15:30,8-Apr-25,3,0.1 - 0.5 Year,12,23,95
2.30221E+11,7-Aug-10,M,Suspended,Friday 15:30,12-Sep-23,22,1.5 - 2 Year,14,100,78
2.11006E+11,31-Jul-09,O,Active,Thursday 17:30,21-Nov-21,44,3+ Year,16,224,88
2.50601E+11,30-Mar-12,null,Active,Monday 15:30,7-Jul-25,0,0 Month,13,6,100
2.41208E+11,4-Dec-12,T,Active,Tuesday 15:30,14-Jan-25,6,0.5 - 1 Year,12,32,76
2.30914E+11,22-Aug-10,O,Active,Friday 19:30,4-Dec-23,19,1.5 - 2 Year,14,118,95
2.50531E+11,15-Apr-11,null,Active,Thursday 15:30,10-Jul-25,0,0 Month,14,6,100
2.40529E+11,14-Feb-11,T,Active,Saturday 15:30,11-Sep-24,10,0.5 - 1 Year,14,47,83
2.50204E+11,23-Jun-11,T,Active,Friday 17:30,10-Feb-25,5,0.1 - 0.5 Year,14,32,86
2.50109E+11,31-Dec-12,U,Active,Thursday 15:30,13-Feb-25,5,0.1 - 0.5 Year,12,34,91
2.40426E+11,29-Dec-11,U,Active,Thursday 19:30,12-May-24,14,1 - 1.5 Year,13,70,87
2.11207E+11,12-Aug-08,U,Suspended,Monday 15:30,7-Feb-22,41,3+ Year,16,134,72
2.40314E+11,25-Jul-11,M,Active,Wednesday 17:30,10-Apr-24,15,1 - 1.5 Year,14,86,93
2.20328E+11,12-Jan-09,U,Active,Sunday 09:30,25-Sep-22,34,2.5 - 3 Year,16,151,91
